MapID	topics
30051	Religion, Christianity, God, Faith, Bible
9963	USA, Food
32108	Sports, SocialMovement
2177	Politics, NuclearWeapons, NorthKorea
7999	Government, Politics, Society, USA, Elections, Oprah
32861	USA, Military
23978	Ethics, Society, Health, Animals
1324	Politics, USA, Race, Slavery, Reparations
12545	Education, School
30082	Philosophy, Psychology, Morality
6467	Education, Literature
9754	Democracy, Government, Science
12551	Government, Politics, India, Aadhaar
10408	Ethics, Government, Politics, Privacy, Transparency
2629	Philosophy, Ethics, Religion, God, Atheism, LifeAndDeath
13673	Ethics, Children, Religion, Health, HumanRights, Parenting
13854	Politics, Society, Violence, School, Gun, Police
10385	Government, Environment, Food, Cars, ClimateChange
29262	Technology, Ethics, Future, SciFi, Information, Limitation
9967	Philosophy, Religion, Science
19174	Society, Cars, Mobile, Traffic, Mobility
19160	Feminism, Culture, Women, Lifestyle
1122	USA, FBI, Darknet, Pedophilia
17165	Technology, Ethics, Politics
14478	Politics, India, SouthAsia
18242	Ethics, Health, Animals, Vegetarian
18524	Government, Children, Elections
11266	Society, FreeSpeech, Debate, Anonymity, Discourse
8674	Politics, Equality, Culture, Australia
15955	Science, Computing, Theory, Complexity
16290	Recycling, Tipping, Fly, Council
30257	Animals, AnimalRights, Pet
28342	Society, Future, Emotion
7584	Politics, Australia, Republic
30486	Democracy, Discussion, GovernmentPower, Influence, Citizen, Rrights
2211	Democracy, Ethics, Politics
9344	Technology, Ethics, Environment, ClimateChange
29841	UK, Brexit, Conservative, Labour, House, Commons
17763	Politics, Society, Economics, Feminism, Parenting
28593	Europe, Politics, Yugoslavia, Serbia, Kosovo
8933	Gender, Justice, Society, USA, Women
12828	Education, Equality, Business, Freedom
13288	Health, Future, Life, Medicine
24424	Technology, Literature, Internet
32252	USA, Drones
14295	Ethics, Justice, Society, Jobs
5581	Politics, Education, Health, School, Policy, UK
7396	Government, Health, UK
29896	Economics, Cryptocurrency, Crypto, Blockchain, Security, Sovereignty
2588	Entertainment, Sports, Media, Football
17978	Economics, USA, Trump, Mexico, Canada, Trade, NAFTA
13049	Democracy, Government, Politics, Elections
